log_id,rice_id,integration_name,integration_identifier,integration_version,instance_id,invoked_by,service_instance_name,oic_base_url,integration_status,log_timestamp,db_user,login_role,database_name,client_ip,client_port,server_ip,server_port,backend_pid,application_name
58,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,_ii0eY0mEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-08-01 06:00:01.708981,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,37954,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,674613,Supavisor
59,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,_ii0eY0mEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-08-01 06:00:06.265479,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,37954,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,674613,PostgreSQL JDBC Driver
60,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,JTUogo1AEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-08-01 09:00:03.647111,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,37954,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,674613,PostgreSQL JDBC Driver
61,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,JTUogo1AEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-08-01 09:00:05.375681,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,37954,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,674613,PostgreSQL JDBC Driver
62,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,Sf14341ZEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-08-01 12:00:02.246563,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,37954,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,674613,PostgreSQL JDBC Driver
63,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,Sf14341ZEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-08-01 12:00:03.964576,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,37954,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,674613,PostgreSQL JDBC Driver
64,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,bnM9JI1yEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-08-01 15:00:02.018184,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,37954,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,674613,PostgreSQL JDBC Driver
65,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,bnM9JI1yEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-08-01 15:00:06.405217,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,37954,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,674613,PostgreSQL JDBC Driver
66,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,lTWIGo2LEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,ENDED,2026-08-01 18:00:05.858341,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,37954,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,674613,PostgreSQL JDBC Driver
67,OC_SPB_OB_001,OC_SPB_OB_001_SuperbaseLogs,OC_SPB_OB_001_SPB_LOG_CLAN,01.00.0000,ulfgYI2kEfGsYi36NKdwjg,98573627-ora021,oic98573627-ocuocictrng30-ld,https://oic98573627-ocuocictrng30-ld.integration.uk-london-1.ocp.oraclecloud.com,STARTED,2026-08-01 21:00:02.882864,postgres,postgres,postgres,2406:da14:271:9902:56bb:1ef9:9329:dbff,43004,2406:da14:1772:ea00:4e52:d3e0:afd8:5271,5432,6632,PostgreSQL JDBC Driver
